Reviewer,Comment,Date
n*****f,"Performance:basic iPhone perfected
Quality:Midnight is a nice colour like dark blue night sky, not too boring and can match with other colour cases.

I picked the 14 because the extra upgrades for camera suited my creative needs for content creation (cinematic in 4k, action mode and lens is same as 13 pro). With 11.11 sale discount of RM300, hard to resist the best price for a new release iPhone. TQ Switch for competitive price 💕

If you are iPhone 11 and below or a curious Androider, this is worth the upgrade.",2022-11-17 01:59:36
a*****r,"Performance:Mantopp
Quality:sangat ringan

21/6 order , 22/6 parcel sampai dalam keadaan baik btw first time i beli online harap harap semua nya oky baru guna 1 hari smooth sngt lebih ringan dari fon lama i 11 pro , camera memang cun mat battery tahan satu hari penggunaan tq hehe🫶🏻",2023-06-23 14:50:37
l*****y,"Performance:smooth to use
Quality:good quality

Received after two days, items wrapped nicely in bubble wrap. so far no prob with my phone:) btw purple is rlly nice n cute👁️🫦👁️",2022-12-16 21:03:28
nurulashikinhashim,"Performance:superb
Quality:superb

Well, its iPhone. Been using apple products since ip7 plus. This is third phone after ip11. Love it! Took 2 days to deliver. Thank you!",2023-09-28 13:28:10
s*****_,"Performance:⭐️⭐️⭐️⭐️⭐️
Quality:⭐️⭐️⭐️⭐️⭐️

Phone smpai dalam keadaan baik.. semua puas hati, wrapping kemas.. cumanya beli time raya cina, so delay sikit la timing sepatutnya sampai.. apa2 pun memang terbaik.. paling best dapat voucher rm700 👍🏻 jimat banyak oo",2024-02-13 22:39:26
z*****0,"Performance:Nice
Quality:Nice!

First time buying iphone online. I can cut cost around 200myr when buying online instead of buying at shop in the mall. Thank you seller for securely wrapped and put in the box as requested. Alhamdulillah.",2024-01-20 16:29:14
r*****1,"Performance:good.. so far semua okay👌
Quality:niceee sangat2.. laju jee bila pakai

barang sampai dalam keadaan baik dan selamat. Packaging dia secure sangat2. Ni first time i beli barang electronic through online so far semua okay. Penghantaran ponn lajuu. Warna nya cantik sangat2.. Waranti pon ada.. Harap2 semuanya okay. Lepas ni boleh la selfie banyak2.. Thank you seller 😘",2022-12-24 17:21:59
s*****r,"Performance:excellent
Quality:good good

Saya suka seller kedai ni, mesra dan taksombong. Pastu cepat je hantar barang. Alhamdulillah barang selamat sampai dan boleh digunakan. Thank you!",2023-11-19 09:09:53
n*****a,"Performance:Very good
Quality:Memang sangat mantap

Memang terbaik . Dari segi penghantaran mmg secure sgt2 . B3 so far cas sekali sehari je . Warna pon quite nice 👍🏿 Kamera mmg terbaikkk 😍 Pori2 muka pon blh nampak . Quality kamera mmg sgt cantik walaupun bukan yg 3 boba . Sangat recommended 🥰",2023-04-06 21:31:08
s*****n,"Quality:good
Performance:good

penghantaran sangat secure. delivery man akan call untuk drop parcel. barang original. so far puas hati guna. beli buat hadiah untuk org tersayang. function well and cepat dapat",2023-11-05 20:15:33
adel_shah96,"Quality:Everything seems to be in a very good condition

Hi, this is my first time buying a phone online. Switch did an amazing job on making sure my new Iphone 14 is safe in a box delivered by Ninja Van. I definitely recommend everyone to buy from this seller because Switch is 100% trustworthy. 😄📱",2023-09-26 17:11:49
joanchingsang,Fast delivery. Good wrap of products by seller 💜good products and value of money of products. Very good quality ♡Fast shipping by seller♡Thank you seller,2024-03-14 15:02:11
m*****9,"Item reveived without any damaged. Function well as
required. The quality as good as it cost you. But for
me i like it and recommend to buy this product. Good
job seller. I might repeat order sooner.",2023-10-03 16:33:53
limseesoon,"Performance:not yet try
Quality:good

Good quality product thank you seller for fast delivery will support seller again in future will share around with friends and family members",2023-03-01 17:06:00
moezi96,"Performance:so far so good
Quality:as expected form machines 👍🏼

The product is great so far. Upgraded from ip11.
Everything is good, except for the packaging. Seriously just a few layers of bubble wrap for something this expensive? Wrapped like the item costs rm50. Do better next time. A spoil to such a big name in the tech industry.
I’m not sure why some people received in boxes and others received like me. Maybe it’s from different switch outlet. So for the outlet in klang valley, you guys need to improve.",2024-01-04 22:42:30
l*****o,"Performance:smoothh
Quality:perfect

upg from android to iphone 14 is crazy ! 
lurve sgt warna purpleee comell. order on 25/11 seller ship on 28 and sampai on 30/11.packaging secure elok je.",2023-12-01 20:17:51
m*****w,"Quality:Good
Performance:As expected of an Apple product

Switch is an excellent seller. I like the option of collect from store as I could buy the screen protector there and get them to apply on the phone there and then. After sales service is also very good. Highly recommended seller for genuine apple products 👍🏼👍🏼👍🏼",2023-08-14 08:46:39
p*****i,"Bought this during payday sale, banyak discount dpt claim and dpt redeem 5000 coins😍 so nice ya the colour and apple mcm biasa tak pernah mengecewakan. Whole setup was smooth and it has arrived in good condition🫶🏻",2023-08-01 12:44:18
felislynnlodius,"Quality:Excellent
Performance:Excellent

Very nice color. Postpone buying for few month because want the yellow color but ended up buying this color anyway 🤣🤣..reach Kota Kinabalu in 3 days only..excellent packaging",2023-08-09 08:45:18
n*****i,"Performance:good
Quality:sangat baik

i already receive it . so far sangat laju n cantik gilaa . fast delivery n staff pun okey . terima kasih . will buy here again next time 💕💕",2023-11-12 17:13:24
x*****l,Fair. The product received on Wed but booking on Fri. Acceptable. Package well packed and product seem to be in good condition. Very good offer at Shopee.,2024-02-10 16:50:27
izcawan,"iPhone 14, in purple. Iphone quality numbers 1, apple number 1 good OS and Camera. Delivery take 6 days in KL only. Packaging very good cover. Good promo and service.",2023-10-06 20:39:04
f*****i,"Quality:⭐️⭐️⭐️⭐️⭐️
Performance:⭐️⭐️⭐️⭐️⭐️

This is my very 1st time buying phone online. Im quite worried about the delivery but received the package safely. 
Excellent service by seller and im very satisfied!",2023-10-08 12:38:32
zenison,"Performance:fast delivery, order on 12th received 14th.
Quality:Great packaging with double bobble wrapping.

Just feel bad for pos laju. Item delivered but didn't call me at all. Just left it at door side.",2022-12-14 13:26:35
s*****n,Super fast delivery and product come intact with acceptable packing. The phone is working well and loves the photo from its camera. Definitely Iphone is a class of its own.,2023-06-10 12:36:30
a*****p,Received it in good condition. Seller help me to put a note and comes with a nice red ribbon. Handphone function well. Have not fully discover all functions. Still learning using it.,2023-09-28 17:49:16
k*****a,beli masa 2.2 hari tu.. memang berbaloi dengan potongan harga dia..telpon semua okay.. first time beli barang mahal dekat online🤭 waranty semua ada.. pembungkusan juga okay.. upgrade dari 6s to 14 😁👍🏻 thank you saller❤️,2023-02-09 15:25:06
b*****9,"Quality:So good
Performance:so smooth

Beli untuk reward diri sendiri.. Beli time 12/12 sangat berbaloi. Tukar dari iphone xsmax ke Iphone 14. Tak rugi beli kt sini, Senang nak claim warranty. Terbaik dah pakai dalam 3 hari semuanya ok. Bateri pon tahan jugak.",2023-12-18 13:45:27
s*****1,"Excellent service by Switch and DHL! Ordered on Tuesday, received on Wednesday. Phone is in perfect condition; bought it during the 8/8 sale so it’s totally worth it. Will certainly buy from them again! Thank you!

P.S. The blue colour is soo nice 🤩",2023-08-14 12:13:21
s*****2,"Quality:Love my new phone
Performance:Very good and very fast

I buy this phone on 10/10 and received on 12/10. Already use for almost 1 month and luckily no damage or anything. I already pm the seller to buy SPP but until now no one contact me back. That was the only sad thing but the phone is amazing it's my first iphone and the battery last 1 day okay sometimes 2 days. I only charged it once for 1 or maybe 2 days.",2023-11-05 21:00:54
r*****_,"Performance:MANTOPP
Quality:TOP TIER

bought this as a self reward since my small gb phone tu always full full like no other day tomorrow, im so stress you know 😔 ANYWAY THE COLOUR IS SO NICE TAK SAMA NGN IP 11 YG NI MORE TO LILAC OR SOFT PURPLE!! DO BUY IP PRODUCT WITH HIGHER GB, ITS WORTH IT!! THANKYOU!! 😭👍🏻",2023-04-08 03:44:53
shiqe,"Quality:Good
Performance:Good

Item receive in good condition 👍👍👍👍

 iPhone 14 has a powerful A15 Bionic CPU, a gorgeous OLED display, an impressive camera, IP68 water resistance, 5G support, and a slew of other features on top of Apple's excellent iOS operating system",2023-10-16 22:42:41
s*****y,"Performance:Good
Quality:Good

I choose to pick up in store. Received messages from seller to pick up at the same day I purchased, very efficient and good quality customer service. Recommend to check the stock availability at switch website then pick up in the store, really fast ! Very good 👍🏻",2023-07-02 01:31:40
q*****4,"Performance:quite good
Quality:nice

Very nice will repurchase this again!i like it worth to buy ！ Worth to buy it. Very nice ！nice packaging love it",2023-11-08 14:51:54
kang123_,"Quality:superb
Performance:superb

Coming from an android user, after using my iPhone for almost 2 weeks, I can say that iOS is really well done in my opinion. Furthermore, the camera and video quality are amazing.",2023-08-29 19:24:17
ritztkd,"Performance:Terbaik
Quality:Terbaik

Terima iphone dengan keadaan baik. Seller juga respon dengan cepat walaupun pada tengah malam. Penghantran juga pantas dan telah dihubungi oleh seller dan juga courier service 10 minit sebelum diserahkan ke tangan buyer.",2023-11-07 17:45:04
n*****n,"Quality:good
Performance:good

Received in good condition. Igtkan courier akan minta sign tuan badan bila smpai mcm selalu beli phone dgn Maxis tp rupanya dia tinggal dpn pintu je huhu",2024-02-01 09:30:18
ideem8,"Quality:excellent
Performance:fast, efficient, great

Coming from android, still getting used to the iphone ios but so far it has bern a great experience. Package was safely sealed and sent by vendor. Choose the dark color if you wanna go stealth dark build",2023-10-19 09:21:42
n*****h,"Performance:good
Quality:good

dah nak sebulan pakai memang onz 🙌 sesuai untuk beginner yg nak pakai apple macam saya. delivery tak sampai seminggu pun thank youu",2023-12-24 21:59:27
h*****n,"This product offers a satisfactory experience with its blend of quality and affordability. Customer support is responsive, which adds value to the overall experience. Overall, it's a decent purchase, but potential buyers should consider their specific needs before making a decision.",2024-03-07 06:36:35
citrusfwen,It was very easy to purchase and the product was shipped within 5 working days to Sabah/Sarawak which is very fast! Product was packaged in multiple bubble wrap for protection. And of course product arrived as expected!,2023-12-17 20:22:29
faschamala,"Performance:mantap

delivery paling laju. tak sampai 3 hari pun.
wrapping pun secure. thank you so much.
5 star services.",2023-07-01 13:36:48
b*****u,"Quality:very good

Alhamdulillah my iphone14 safely arrived & 100% original from apple. CS sangat responsive ya. Request nak letak dlm kotak & triple bubble wrap & seller layan je. Nk purchase SPP pun tinggal dekat remarks je & switch cs terus call utk confirmation. From 11 to 14. Hello my new baby❤️ Order on 30 september off dlm 200ringgit. Received on 3rd october. DHL lambat sikit.",2023-10-07 15:16:45
w*****h,"good product quality, good value for money, fast delivery, excellent service by seller",2023-11-27 18:27:35
cikdewi_019,Barang Sampai agak lambat . Tapi Sampai dengan selamat. Dibungkus dengan elok . Beli SBB mmg Nk Guna. Semua okey.,2023-11-18 15:24:23
c*****n,"Performance:Work as expected

Seller did put box and bubble wrap as per request and it took 1 day to deliver after seller shipped.. Did checked the serial number and it is genuine 👍🏻",2023-01-08 15:18:27
jaydenooiyitchun,"Performance:apple quality is good
Quality:super good

Avoid buy ip13 pro max, just buy this.",2023-07-05 21:14:30
ebojunior,"Quality:Mantap
Performance:terbaik

Order 16/09
hantar 18/09
sampai ke sabah 20 /09",2023-09-20 16:04:00
n*****n,fast delivery by dhl. arrived safely but the packaging is not that secure.,2024-03-15 15:36:38
i*****i,"Performance:Good
Quality:Good as always

Very convenient purchased. Order from shopee for self pick up at nearest store less than 1 day.",2023-08-23 16:30:16
n*****h,"Quality:5/5
Performance:Good phone

First time guna iphone. Excited bila sampai. Seller hantar pun laju. 2 hari jee. Warna purple dia pun cantikkk.",2023-09-09 02:30:08
hhrosewinslet,"Performance:so good
Quality:bagusssssss sekaliiii

Sampai dalam keadaan baik, setakat dah guna 2/3 hari ni okayyy sangat takde masalah. Seller pon responsive walaupun lambat sikit tapi okay jee sebab cuti . Cantikkk warna biruu nii",2023-11-17 21:07:44
m*****e,"Quality:tiada calar

pembungkusan baik cuma tiada sticker fragile di tampal. ah risau pula pihak courier campak2😳. apa pun handphone tiada kerosakan",2023-11-27 21:56:48
amree78,"Quality:Ori. Terbaikkkk & murah
Performance:Terbaikkkk. Video tgh bergerak steadyyyy.

Harga berpatutan. Produk berkualiti. Penghantaran pantas. Harga berpatutan. Kaler cun. Kamera pun cun",2023-08-10 23:21:56
syafizaa,"Quality:SO NICEEE
Performance:VERY GOOD AND SMOOTH

sampai dalam keadaan yang baikkkkkkkk 
RECOMMENDED BELI SINI ⭐️⭐️⭐️⭐️",2023-07-31 21:43:10
h*****i,"Performance:Superb
Quality:Superb

baru pakai 3 hari, setakat ni okay semuanya Alhamdulillah. penghantaran lambat sikit disebabkan oleh sale & promotion 9.9 haritu tapi gembira sangat hehe very smooth but still awkward lagi nak guna since tukar phone from ip6s to ip14. ada rezeki inshaallah boleh beli for parents :)",2023-09-17 01:08:04
alicespencer,"Performance:Nice, Solid, Power

Original from Switch. Nice. Fast delivery. My wife very happy. Seller fast response.",2023-01-08 04:25:18
w*****a,"Performance:amazing
Quality:great

Thank u for the unexpected sale. Initially i bought from another store but was told this colour was out of stock which lead me here to switch os. Thanks again 🥰",2022-11-17 15:13:58
afandy2677,"Performance:Good
Quality:Very good

Penghantan cepat.
Barang sampai dalam keadaan baik.
Thank you seller!!
Beli semasa promosi ,harga murah tp tiada aksesori.",2024-03-01 20:51:25
ajaxart1966,"Performance:excellent
Quality:good

Delivery as per schedule. Thanks seller and courier services.",2023-06-20 15:40:38
n*****4,"Quality:very good
Performance:very good

fast delivery and come with good condition",2023-12-17 09:08:05
s*****4,"Quality:Great

Finally get it.. Im order on 25/9 get by today 😍😁is my first time use Iphone, love the color..",2023-10-02 21:38:04
l*****n,"Performance:Okay cuz still new
Quality:Tiptop

Bought during sale 11.11, received on 20.11.23 - Sale 11.11 banyak potongan harga. Brand new iphone. Good condition. Better buat video unboxing incase dpt yg factory problem ke. Nice soft purple color. Kurang 1 star sbb ship out lambat, DHL pun sama deliver lambat. Overall puas hati. First time pakai apple.",2023-11-20 23:03:47
onemint,"Quality:Superb
Performance:Perfection as expected

Well sealed. Fast delivery. All good. Fantastic condition",2023-04-07 01:17:24
momochachaz,"Quality:so good
Performance:good

Faster delivery safety arrive thank you so mucbhh",2023-07-31 11:46:17
ipman_14577,"Performance:not try yet
Quality:solid

Thanks seller fast delivery and trusted",2024-03-09 15:48:40
espeon9466,"Quality:good
Performance:awesome

Bought on offer on 11.11. Such an amazing deal for an amazing phone! 👍🏻 Thank you!",2023-11-15 18:07:35
n*****1,"Performance:Cannot denied with the technology.
Quality:The seller wrap the box nicely

Received within 2days with courier dhl. 

Bought it at 8:8 sales.",2023-08-16 01:29:17
h*****a,works perfectly fine and the packaging also wrapped really secure. thank u,2024-01-04 22:51:31
waratatatatata,"Performance:good
Quality:good

Accept in good condition , tq seller, cuma penghantaran lambat sikit.",2023-12-02 07:48:49
arooradayana,"Quality:10/10 original
Performance:Terbaik 👍

Barang sampai dalam keadaan baik , dalam kotak siap wrapping & yang penting murah dari kedai.Terbaik 👍",2023-10-03 19:47:31
emmamumoi87,"Performance:smooth
Quality:good

Thanks switch 
Iphone xs to iphone 14 
Fast delivery love it 
Hsband gift to me 🥰",2024-02-28 15:39:35
meekian78,Items received in the good condition.fast delivery and well package,2024-01-23 19:44:52
l5g6ivh2q9,"Performance:great performance

Absolutely stunning color! Delivery is quick too, I received the phone next day evening! 10/10 surely recommend.",2022-12-16 13:04:53
faridharun95,"Performance:very fast & battery last sooo long
Quality:Nice build as usual

Very fast seller. Well packed. Highly recommended to all…👍👍👍",2022-11-27 13:44:10
ridzsaidin,"Performance:great
Quality:great

fast shipping. product in good conditions. all is good 👍👍👍",2023-08-19 19:47:08
s*****a,"Fast delivery, seller packed in a box ✅
Perfect condition, no scratches. ✅

As first time user, easy to sign up ID.",2024-01-02 22:21:26
funnfunny,"Quality:iPhone 14 mantap

Seller mantap, barang sampai dalam keadaan baik, penghantaran pantas. hari ni Oder terus pos esok dah sampai..",2024-01-11 22:20:17
ralilah_arsat,"Quality:very good
Performance:very good

Barang dah smpai dalam keadaan baik.. secure packaging👍🏻👍🏻 recommended seller🌟🌟🌟🌟🌟",2023-09-19 21:06:29
h*****a,"so far dah pakai beberapa hari, performance okay, batt tahan lama compared to iphone lama. delivery laju harini order esok sampai n secured",2023-08-23 12:51:52
chrislim59,"Quality:Very Good
Performance:Very satisfied

Deliver within 48 hours very fast and efficient💜",2024-02-10 16:01:21
c*****n,"Performance:ok
Quality:ok

Packaging is ok just sometimes promo time delivery takes some time. Overall is ok",2023-11-17 11:38:07
c*****9,"Quality:OK
Performance:ok

Good. Cheaper price with voucher. Very fast delivery. Thanks seller",2024-02-09 20:21:26
o*****8,"Quality:good
Performance:good

Beli masa promotion. Berbaloi. Still considered best processor and camera. IP15 mahal sgt.",2024-03-18 08:05:20
yongen99,"Performance:good

Fast delivery by seller from KL to JB, no broken on the iPhone itself",2023-12-01 08:32:27
shopeskin,good service & cepat sampai . packaging je dlm parcel biasa🥹🥹 risauu first time beli barang mahal by delivery,2024-02-10 09:57:45
anhuanchiang,"Performance:as it's supposed to be
Quality:good packing. no damages or scratch

Delivery was super fast",2023-08-30 00:11:54
attashburn,"Performance:video and pic superb
Quality:tiptop

Trusted seller. Delivery okay . Nicely wrapped in a box with bubble wrap.",2023-02-18 22:09:11
f*****m,"Phone memang xada problem, kalau boleh upgade sikit packaging, pakai box ke, nasib guna DHL, sampai elok,

Please upgrade packaging.",2024-01-22 19:02:21
y*****1,"Performance:Good
Quality:Best

You guys should buy from this seller trusted and laju je delivery dia bagus seller packaging pun okay mmg bagus",2024-03-01 17:50:00
